Ticker,Return (%),Volatility (%),Sharpe,Beta,Max DD (%)
HDFCBANK.NS,7.78,19.82,0.06,1.04,-19.91
ICICIBANK.NS,21.15,18.34,0.8,0.97,-9.34
SBIN.NS,18.19,25.59,0.46,1.39,-17.48
KOTAKBANK.NS,-0.24,20.41,-0.33,0.86,-23.15
AXISBANK.NS,9.08,21.92,0.12,1.06,-18.78
TCS.NS,17.24,19.7,0.55,0.75,-13.17
INFY.NS,17.16,23.09,0.46,0.9,-24.34
WIPRO.NS,25.59,24.17,0.79,1.07,-19.53
HCLTECH.NS,38.25,21.38,1.48,0.79,-21.66
TECHM.NS,34.53,25.14,1.11,0.87,-16.22
SUNPHARMA.NS,35.35,17.39,1.66,0.47,-12.24
DRREDDY.NS,27.65,19.46,1.09,0.43,-15.61
CIPLA.NS,21.83,24.09,0.64,0.33,-20.77
DIVISLAB.NS,34.26,26.28,1.06,0.45,-21.45
APOLLOHOSP.NS,28.21,21.76,1.0,0.56,-14.87
